Date,North Sea Oil Price,Gulf of Oman Oil Price,Arabica Coffee Price,Robusta Coffee Price,Colombo Tea Price,Kolkata Tea Price,Mombasa Tea Price,European Sugar Price,US Sugar Price,World Sugar Price
2023-06-01,100,90,120,110,150,140,130,160,150,170
2023-06-02,105,95,125,115,155,145,135,165,155,175
2023-06-03,110,100,130,120,160,150,140,170,160,180
2023-06-04,115,105,135,125,165,155,145,175,165,185
2023-06-05,120,110,140,130,170,160,150,180,170,190
2023-06-06,125,115,145,135,175,165,155,185,175,195
2023-06-07,130,120,150,140,180,170,160,190,180,200
2023-06-08,135,125,155,145,185,175,165,195,185,205
2023-06-09,140,130,160,150,190,180,170,200,190,210
2023-06-10,145,135,165,155,195,185,175,205,195,215
