business_day,day_of_week,total_sales,is_holiday,average_temperature,price_of_gas,consumer_price_index,unemployment_rate
True,Monday,1000,False,70,3.0,120,3.5
True,Tuesday,1500,False,65,2.95,115,3.4
True,Wednesday,2000,False,60,2.9,110,3.3
True,Thursday,2500,False,55,2.85,105,3.2
True,Friday,3000,False,50,2.8,100,3.1
False,Saturday,2500,True,45,2.75,95,3.0
False,Sunday,2500,True,40,2.7,90,2.9
True,Monday,1000,False,70,3.0,120,3.5
True,Tuesday,1500,False,65,2.95,115,3.4
True,Wednesday,2000,False,60,2.9,110,3.3
True,Thursday,2500,False,55,2.85,105,3.2
True,Friday,3000,False,50,2.8,100,3.1
False,Saturday,2500,True,45,2.75,95,3.0
False,Sunday,2500,True,40,2.7,90,2.9
True,Monday,1000,False,70,3.0,120,3.5
True,Tuesday,1500,False,65,2.95,115,3.4
True,Wednesday,2000,False,60,2.9,110,3.3
True,Thursday,2500,False,55,2.85,105,3.2
True,Friday,3000,False,50,2.8,100,3.1
False,Saturday,2000,True,45,2.75,95,3.0
False,Sunday,2000,True,40,2.7,90,2.9
