Data Accessibility,Affordable Housing,Educational Quality,Police Legitimacy,Road Conditions,Community Event Attendance,Mental Health
30,33,36,39,26,40,41
32,35,38,41,28,42,43
34,37,40,43,30,43,43
35,8,9,10,11,12,13
37,10,11,12,13,14,15
39,12,13,14,15,16,17
35,14,15,16,17,18,19
37,16,17,18,19,20,21
39,18,19,20,21,22,23
10,20,21,22,23,24,25
11,22,23,24,25,26,27
33,24,25,26,27,28,29
35,26,27,28,29,30,31
37,28,29,30,31,32,33
15,30,31,32,33,34,35
16,32,33,34,35,36,37
17,34,35,36,37,38,39
18,36,37,38,39,40,41
19,38,39,40,41,42,43
20,40,41,42,43,44,45
21,42,43,44,45,46,47
22,44,45,46,47,48,49
23,46,47,48,49,50,51
