Gender,WklyStudyHours,MathScore,ReadingScore,WritingScore
female,< 5,56,71,75
male,5 - 10,69,90,88
male,> 10,89,82,85
male,5 - 10,51,64,60
female,< 5,77,91,92
male,< 5,58,59,58
male,5 - 10,53,60,52
male,5 - 10,42,53,51
male,> 10,88,92,87
female,5 - 10,60,65,67
male,> 10,64,55,64
male,5 - 10,59,56,54
male,< 5,47,47,40
male,5 - 10,44,41,38
male,5 - 10,66,68,63
female,< 5,65,76,70
female,5 - 10,69,71,71
female,5 - 10,42,51,49
male,< 5,74,71,80
male,5 - 10,75,76,76
male,< 5,55,58,55
female,> 10,69,70,76
male,5 - 10,78,70,65
female,< 5,67,73,72
female,5 - 10,63,65,61
female,5 - 10,56,73,66
female,5 - 10,34,42,38
female,< 5,97,87,82
male,5 - 10,81,82,79
female,5 - 10,76,82,85
female,> 10,51,64,62
female,< 5,77,91,90
male,5 - 10,58,56,58
male,5 - 10,53,60,59
female,> 10,59,78,69
male,5 - 10,69,66,64
female,< 5,48,55,52
male,< 5,63,53,55
female,5 - 10,67,72,77
male,> 10,89,84,82
