name,origin
audi 100 ls,europe
buick skylark 320,usa
plymouth satellite,japan
amc rebel sst,japan
ford torino,japan
chevrolet impala,japan
plymouth fury iii,japan
amc ambassador dpl,europe
dodge challenger se,japan
plymouth 'cuda 340,europe
chevrolet monte carlo,europe
buick estate wagon (sw),usa
toyota corona mark ii,japan
plymouth duster,usa
amc hornet,usa
ford maverick,usa
datsun pl510,japan
volkswagen 1131 deluxe sedan,europe
peugeot 504,europe
saab 99e,europe
bmw 2002,europe
amc gremlin,usa
ford f250,usa
chevy c20,usa
dodge d200,usa
hi 1200d,usa
datsun pl510,japan
chevrolet vega 2300,usa
toyota corona,japan
ford pinto,usa
amc gremlin,usa
plymouth satellite custom,usa
chevrolet chevelle malibu,japan
ford torino 500,japan
amc hornet sportabout (sw),usa
amc matador,japan
chevrolet impala,japan
pontiac catalina brougham,japan
ford galaxie 500,usa
plymouth fury iii,usa
dodge monaco (sw),usa
ford country squire (sw),usa
pontiac safari (sw),usa
chevrolet vega (sw),usa
pontiac firebird,usa
ford mustang,usa
mercury capri 2000,usa
opel 1900,europe
peugeot 304,europe
fiat 124b,europe
toyota corolla 1200,japan
datsun 1200,japan
volkswagen model 111,europe
plymouth cricket,usa
toyota corona hardtop,japan
amc ambassador brougham,usa
volkswagen type 3,europe
chevrolet vega,usa
chevrolet nova custom,usa
chevrolet impala,usa
pontiac catalina,usa
plymouth fury iii,europe
amc matador,europe
amc hornet,europe
ford gran torino,europe
dodge coronet custom,europe
mercury marquis brougham,usa
chevrolet caprice classic,usa
ford ltd,usa
plymouth fury gran sedan,usa
chrysler new yorker brougham,europe
buick electra 225 custom,europe
amc ambassador brougham,europe
plymouth valiant,usa
chevrolet nova custom,usa
