Country,City,Ozone AQI Value,Ozone AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
Brazil,Porecatu,9,Good,32,Good,-22.7558,-51.3789
Finland,Pori,29,Good,14,Good,61.4833,21.8
United Kingdom of Great Britain and Northern Ireland,Port Talbot,22,Good,55,Moderate,51.5906,-3.7986
United States of America,Portales,34,Good,66,Moderate,34.1754,-103.3565
United States of America,Destin,32,Good,25,Good,30.395,-86.4701
South Africa,Port Elizabeth,18,Good,79,Moderate,-33.9581,25.6
United States of America,Port Neches,20,Good,34,Good,29.9765,-93.9459
United States of America,Post Falls,32,Good,63,Moderate,47.7213,-116.9384
Brazil,Pouso Alegre,8,Good,32,Good,-22.2281,-45.9336
Russian Federation,Dalnegorsk,29,Good,28,Good,44.55,135.5833
United States of America,Dayton,35,Good,45,Good,39.2592,-119.5653
United States of America,Dayton,32,Good,45,Good,30.0315,-94.9158
Belgium,Deinze,25,Good,38,Good,50.9833,3.5333
Haiti,Delmas,17,Good,127,Unhealthy for Sensitive Groups,18.55,-72.3
United Kingdom of Great Britain and Northern Ireland,Denton,22,Good,46,Moderate,33.2175,-97.1418
United Kingdom of Great Britain and Northern Ireland,Denton,32,Good,59,Moderate,53.4554,-2.1122
India,Dharmapuri,34,Good,66,Moderate,12.127,78.158
Philippines,Dipolog,17,Good,30,Good,8.5872,123.3408
Latvia,Dobele,34,Good,42,Good,56.6167,23.2667
United States of America,Grandville,37,Good,48,Good,42.9004,-85.7564
Netherlands,Grave,32,Good,37,Good,51.7667,5.7333
United States of America,Green Valley,14,Good,44,Good,31.8393,-111.0009
United States of America,Green Valley,14,Good,43,Good,39.3414,-77.24
