job_title,remote_ratio,company_location
Applied Scientist,0,US
Data Modeler,50,US
Data Modeler,0,US
Data Scientist,50,US
Data Scientist,0,US
Data Analyst,100,US
Data Analyst,100,US
Research Engineer,0,DE
Data Modeler,0,DE
Data Modeler,100,GB
Analytics Engineer,100,GB
Business Intelligence Engineer,0,US
Business Intelligence Engineer,0,US
Machine Learning Engineer,0,US
Machine Learning Engineer,100,US
Data Strategist,0,CA
Data Strategist,0,CA
Data Engineer,50,US
Data Engineer,100,US
Business Intelligence Engineer,0,US
Data Engineer,0,US
Data Engineer,50,US
Data Engineer,0,US
Data Analyst,0,US
Data Analyst,0,US
Data Quality Analyst,100,NG
Compliance Data Analyst,100,NG
Machine Learning Engineer,50,IN
Applied Scientist,0,US
Applied Scientist,0,US
Data Engineer,0,US
Data Scientist,100,US
Data Engineer,100,US
Data Engineer,100,US
Research Engineer,0,US
Applied Scientist,0,US
Applied Scientist,50,US
Data Scientist,0,US
Data Engineer,100,US
Data Engineer,100,US
Data Scientist,100,US
Data Scientist,100,US
Data Engineer,0,US
Applied Scientist,0,US
Applied Scientist,100,US
Data Engineer,100,US
Applied Scientist,0,US
Applied Scientist,50,US
Data Engineer,0,US
