Country,City,NO2 AQI Value,NO2 AQI Category,lat,lng
Russian Federation,Pyatigorsk,2,Good,44.05,43.0667
China,Qinzhou,5,Good,21.95,108.6167
Netherlands,Raalte,10,Good,52.3833,6.2667
France,Raismes,4,Good,50.3892,3.4858
Italy,Ramacca,0,Good,37.3833,14.7
United States of America,Phoenix,23,Good,33.5722,-112.0892
Poland,Piaseczno,4,Good,52.0667,21.0167
Brazil,Pinheiral,16,Good,-22.5128,-44.0008
Colombia,Plato,2,Good,9.7919,-74.7872
Romania,Poiana Mare,1,Good,43.9333,23.0833
Russian Federation,Polevskoy,4,Good,56.45,60.1833
France,Pontarlier,2,Good,46.9061,6.3547
United States of America,Pontiac,15,Good,42.6493,-83.2878
United States of America,Pontiac,17,Good,40.8894,-88.6409
Indonesia,Pontianak,0,Good,-0.0206,109.3414
Brazil,Porecatu,3,Good,-22.7558,-51.3789
Finland,Pori,1,Good,61.4833,21.8
South Africa,Port Elizabeth,5,Good,-33.9581,25.6
United States of America,Port Neches,7,Good,29.9765,-93.9459
United Kingdom of Great Britain and Northern Ireland,Port Talbot,6,Good,51.5906,-3.7986
Belgium,Deinze,3,Good,50.9833,3.5333
Haiti,Delmas,5,Good,18.55,-72.3
United States of America,Deming,6,Good,32.2631,-107.7525
United Kingdom of Great Britain and Northern Ireland,Denton,3,Good,33.2175,-97.1418
United Kingdom of Great Britain and Northern Ireland,Denton,1,Good,53.4554,-2.1122
United States of America,Destin,3,Good,30.395,-86.4701
India,Dharmapuri,1,Good,12.127,78.158
Philippines,Dipolog,2,Good,8.5872,123.3408
