job_title,salary_in_usd,employee_residence,company_size
Data Strategist,72222,CA,M
ML Engineer,35600,US,S
ML Engineer,25500,US,S
Data Analyst,165489,US,M
Computer Vision Engineer,184590,US,M
Applied Scientist,222200,CA,L
Data Scientist,218500,US,M
Data Scientist,345515,CA,L
Machine Learning Engineer,130000,US,M
Data Scientist,147100,CA,M
Data Scientist,175000,US,L
Analytics Engineer,143200,GB,M
Data Analyst,123456,US,M
Applied Scientist,256213,US,L
Applied Scientist,130760,US,L
Data Modeler,147100,US,M
Data Modeler,90700,GB,S
Data Scientist,152615,US,M
Data Scientist,150000,GB,M
Data Modeler,160000,US,L
