Gender,LunchType,PracticeSport,TransportMeans,ReadingScore,WritingScore
male,standard,never,school_bus,78,79
female,free/reduced,sometimes,private,53,58
female,standard,sometimes,private,77,78
male,standard,sometimes,school_bus,89,86
male,free/reduced,never,school_bus,32,28
male,free/reduced,sometimes,private,44,48
female,free/reduced,never,private,56,58
male,standard,regularly,school_bus,59,63
female,standard,sometimes,school_bus,75,70
male,free/reduced,never,private,59,51
female,standard,never,private,72,71
male,free/reduced,sometimes,school_bus,71,85
male,free/reduced,regularly,school_bus,76,76
male,free/reduced,sometimes,school_bus,53,58
female,standard,sometimes,school_bus,70,76
male,standard,sometimes,private,70,65
male,standard,never,private,78,72
male,free/reduced,sometimes,private,65,61
female,free/reduced,sometimes,school_bus,73,59
male,standard,never,private,42,38
male,standard,sometimes,school_bus,87,82
male,free/reduced,regularly,school_bus,65,67
female,free/reduced,sometimes,school_bus,59,52
female,standard,sometimes,school_bus,76,55
male,standard,regularly,school_bus,53,77
male,free/reduced,sometimes,private,84,58
male,standard,regularly,school_bus,55,48
female,free/reduced,regularly,private,68,68
male,standard,regularly,school_bus,45,43
male,standard,sometimes,school_bus,78,75
female,free/reduced,regularly,private,86,90
female,standard,sometimes,private,41,44
female,free/reduced,sometimes,school_bus,86,87
male,standard,sometimes,private,59,58
male,standard,regularly,private,60,60
male,standard,sometimes,private,80,82
female,free/reduced,sometimes,school_bus,81,86
female,standard,sometimes,private,71,74
female,standard,regularly,school_bus,69,58
female,standard,regularly,private,87,83
male,free/reduced,regularly,private,34,36
male,standard,sometimes,school_bus,77,69
male,free/reduced,sometimes,private,46,52
female,standard,sometimes,private,87,94
female,standard,regularly,private,50,69
male,free/reduced,sometimes,private,45,45
male,free/reduced,sometimes,school_bus,47,58
male,standard,regularly,private,64,64
male,free/reduced,never,private,38,40
