date,brent_crude_oil_price,dubai_crude_oil_price,arabica_coffee_price,robusta_coffee_price,colombo_tea_price,kolkata_tea_price,mombasa_tea_price,european_sugar_price,us_sugar_price,world_sugar_price
2023-06-09,100,95,150,120,200,175,150,190,170,180
2023-06-10,105,90,155,125,210,180,155,195,175,185
2023-06-11,110,85,160,130,220,185,160,200,180,190
2023-06-12,115,80,165,135,230,190,165,205,185,195
2023-06-13,120,75,170,140,240,195,170,210,190,200
2023-06-14,125,70,175,145,250,200,175,215,195,205
2023-06-15,130,65,180,150,260,205,180,220,200,210
2023-06-16,135,60,185,155,270,210,185,225,205,215
2023-06-17,140,55,190,160,280,215,190,230,210,220
2023-06-18,145,50,195,165,290,220,195,235,215,225
2023-06-19,150,45,200,170,300,225,200,240,220,230
