date,north_sea_oil_price,gulf_of_oman_oil_price,arabica_coffee_price,robusta_coffee_price,colombo_tea_price,kolkata_tea_price,mombasa_tea_price,european_sugar_price,us_sugar_price,world_sugar_price
2023-06-01,100,95,150,140,120,110,100,130,120,115
2023-06-02,105,98,155,145,125,115,105,135,125,120
2023-06-03,110,101,160,150,130,120,110,140,130,125
2023-06-04,115,104,165,155,135,125,115,145,135,130
2023-06-05,120,107,170,160,140,130,120,150,140,135
2023-06-06,125,110,175,165,145,135,125,155,145,140
2023-06-07,130,113,180,170,150,140,130,160,150,145
2023-06-08,135,116,185,175,155,145,135,165,155,150
2023-06-09,140,119,190,180,160,150,140,170,160,155
2023-06-10,145,122,195,185,165,155,145,175,165,160
2023-06-11,150,125,200,190,170,160,150,180,170,165
2023-06-12,155,128,205,195,175,165,155,185,175,170
2023-06-13,160,131,210,200,180,170,160,190,180,175
2023-06-14,165,134,215,205,185,175,165,195,185,180
2023-06-15,170,137,220,210,190,180,170,200,190,185
