date,North_sea_oil_price,Gulf_of_oman_oil_price,Arabica_coffee_price,Robusta_coffee_price,Colombo_tea_price,Kolkata_tea_price,Mombasa_tea_price,European_sugar_price,Us_sugar_price,World_sugar_price
2023-06-10,100,90,120,110,150,140,130,160,150,170
2023-06-11,105,95,125,115,155,145,135,165,155,175
2023-06-12,110,100,130,120,160,150,140,170,160,180
2023-06-13,115,105,135,125,165,155,145,175,165,185
2023-06-14,120,110,140,130,170,160,150,180,170,190
2023-06-15,125,115,145,135,175,165,155,185,175,195
2023-06-16,130,120,150,140,180,170,160,190,180,200
2023-06-17,135,125,155,145,185,175,165,195,185,205
2023-06-18,140,130,160,150,190,180,170,200,190,210
2023-06-19,145,135,165,155,195,185,175,205,195,215
