data_availability,affordable_housing_units,educational_quality,police_trust,road_quality,community_events_attendance_rate,mental_health
High,1000,Good,High,Good,75,Good
Medium,500,Fair,Medium,Fair,50,Fair
Low,250,Poor,Low,Poor,25,Poor
High,1000,Good,High,Good,75,Good
Medium,500,Fair,Medium,Fair,50,Fair
Low,250,Poor,Low,Poor,25,Poor
High,1000,Good,High,Good,75,Good
Medium,500,Fair,Medium,Fair,50,Fair
Low,250,Poor,Low,Poor,25,Poor
High,1000,Good,High,Good,75,Good
Medium,500,Fair,Medium,Fair,50,Fair
Low,250,Poor,Low,Poor,25,Poor
High,1000,Good,High,Good,75,Good
Medium,500,Fair,Medium,Fair,50,Fair
Low,250,Poor,Low,Poor,25,Poor
High,1000,Good,High,Good,75,Good
Medium,500,Fair,Medium,Fair,50,Fair
Low,250,Poor,Low,Poor,25,Poor
High,1000,Good,High,Good,75,Good
Medium,500,Fair,Medium,Fair,50,Fair
Low,250,Poor,Low,Poor,25,Poor
High,1000,Good,High,Good,75,Good
Medium,500,Fair,Medium,Fair,50,Fair
Low,250,Poor,Low,Poor,25,Poor
