Data Accessibility,Affordable Housing Availability,Educational Quality Rating,Police Legitimacy,Road Quality,Community Event Attendance,Mental Health Status
Good,High,Excellent,High,Good,High,Good
Good,Medium,Good,Medium,Good,Medium,Good
Good,Low,Fair,Low,Bad,Low,Bad
Excellent,High,Excellent,High,Good,High,Good
Excellent,Medium,Excellent,Medium,Good,Medium,Good
Excellent,Low,Excellent,Low,Bad,Low,Bad
Bad,High,Fair,High,Good,High,Good
Bad,Medium,Fair,Medium,Good,Medium,Good
Bad,Low,Bad,Low,Bad,Low,Bad
Good,High,Excellent,High,Good,High,Good
Good,Medium,Good,Medium,Good,Medium,Good
Good,Low,Fair,Low,Bad,Low,Bad
Excellent,High,Excellent,High,Good,High,Good
Excellent,Medium,Excellent,Medium,Good,Medium,Good
Excellent,Low,Excellent,Low,Bad,Low,Bad
Bad,High,Fair,High,Good,High,Good
Bad,Medium,Fair,Medium,Good,Medium,Good
Bad,Low,Bad,Low,Bad,Low,Bad
