Data Accessibility,Affordable Housing,Educational Quality,Police Legitimacy,Road Conditions,Community Involvement,Mental Health
Good,Yes,Good,High,Good,High,Good
Good,Yes,Good,Medium,Good,Medium,Good
Good,Yes,Good,Low,Good,Low,Good
Fair,Yes,Good,High,Good,High,Good
Fair,Yes,Good,Medium,Good,Medium,Good
Fair,Yes,Good,Low,Good,Low,Good
Poor,Yes,Good,High,Good,High,Good
Poor,Yes,Good,Medium,Good,Medium,Good
Poor,Yes,Good,Low,Good,Low,Good
Good,No,Good,High,Good,High,Good
Good,No,Good,Medium,Good,Medium,Good
Good,No,Good,Low,Good,Low,Good
Fair,No,Good,High,Good,High,Good
Fair,No,Good,Medium,Good,Medium,Good
Fair,No,Good,Low,Good,Low,Good
Poor,No,Good,High,Good,High,Good
Poor,No,Good,Medium,Good,Medium,Good
Poor,No,Good,Low,Good,Low,Good
