Sex,Shell Length (mm),Shell Diameter (mm),Shell Height (mm),Total Weight (g),Shucked Weight (g),Viscera Weight (g),Shell Mass (g),Age (years)
Male,50,52,30,100,60,20,30,2
Female,45,48,28,90,55,15,25,3
Male,55,57,33,110,65,25,35,4
Female,40,42,25,80,50,10,20,5
Male,60,62,38,120,70,30,40,6
Female,35,37,22,70,45,5,15,7
Male,65,67,43,130,75,35,45,8
Female,30,32,19,60,40,55,10,9
Male,70,72,48,140,80,40,50,10
Female,25,27,16,50,35,25,5,11
Male,75,77,53,150,85,10,55,12
Female,50,22,13,40,30,30,25,13
Male,45,82,58,160,90,25,60,14
Female,55,17,10,30,25,10,25,15
Male,40,87,63,170,95,25,10,16
Female,60,22,7,20,20,10,30,17
Male,55,82,68,180,100,30,70,18
Female,40,17,4,10,15,25,25,19
Male,60,87,73,190,105,10,10,20
Female,35,22,1,55,10,30,30,21
